TRECHO  ,Nº_ATROPELAMENTO ,Nº_AVISTAMENTO,Nº_CANAIS,ATROPELAMENTO EM MATA,TAMANHO DO CANAL,DESOBSTRUÇÃO DO CANAL
TRECHO 1 ,8,1,8,0,PEQUENO,NAO
TRECHO 2,17,0,14,2,GRANDE,SIM
TRECHO 3,4,4,11,0,MEDIO,NAO
TRECHO 4,7,2,7,3,PEQUENO,SIM
TRECHO 5,2,1,1,0,PEQUENO,NAO
TRECHO 6,3,0,1,0,PEQUENO,NAO
TRECHO 7,1,1,0,0,PEQUENO,NAO
TRECHO 8,0,0,0,0,PEQUENO,NAO
TRECHO 9,4,2,0,0,PEQUENO,NAO
TRECHO 10,6,0,7,0,PEQUENO,SIM
TRECHO 11,5,18,52,3,MEDIO,SIM
TRECHO 12,5,3,9,0,PEQUENO,NAO
TRECHO 13,7,6,27,0,MEDIO,SIM
TRECHO 14,7,1,15,0,MEDIO,SIM
TRECHO 15,8,4,19,0,PEQUENO,SIM
TRECHO 16,4,8,16,1,MEDIO,SIM
TRECHO 17,0,7,17,0,MEDIO,SIM
TRECHO 18,3,4,6,0,PEQUENO,SIM
TRECHO 19,0,6,15,0,MEDIO,SIM
TRECHO 20,1,4,13,0,MEDIO,SIM
